17316	2
2	375	8659
2	375	8665
2	376	8659
2	376	8665
2	377	8659
2	377	8665
2	378	8659
2	378	8665
2	379	8659
2	379	8665
2	380	8659
2	380	8665
2	381	8659
2	381	8665
2	382	8659
2	382	8665
2	383	8659
2	383	8665
2	384	8659
2	384	8665
2	385	8659
2	385	8665
2	386	8659
2	386	8665
2	387	8659
2	387	8665
2	388	8659
2	388	8665
2	389	8659
2	389	8665
2	390	8659
2	390	8665
2	391	8659
2	391	8665
2	392	8659
2	392	8665
2	393	8659
2	393	8665
2	394	8659
2	394	8665
2	395	8659
2	395	8665
2	396	8659
2	396	8665
2	397	8659
2	397	8665
2	398	8659
2	398	8665
2	399	8659
2	399	8665
2	400	8659
2	400	8665
2	401	8659
2	401	8665
2	402	8659
2	402	8665
2	403	8659
2	403	8665
2	404	8659
2	404	8665
2	405	8659
2	405	8665
2	406	8659
2	406	8665
2	407	8659
2	407	8665
2	408	8659
2	408	8665
2	409	8659
2	409	8665
2	410	8659
2	410	8665
2	411	8659
2	411	8665
2	412	8659
2	412	8665
2	413	8659
2	413	8665
2	414	8659
2	414	8665
2	415	8659
2	415	8665
2	416	8659
2	416	8665
2	417	8659
2	417	8665
2	418	8659
2	418	8665
2	419	8659
2	419	8665
2	420	8659
2	420	8665
2	421	8659
2	421	8665
2	422	8659
2	422	8665
2	423	8659
2	423	8665
2	424	8659
2	424	8665
2	425	8659
2	425	8665
2	426	8659
2	426	8665
2	427	8659
2	427	8665
2	428	8659
2	428	8665
2	429	8659
2	429	8665
2	430	8659
2	430	8665
2	431	8659
2	431	8665
2	432	8659
2	432	8665
2	433	8659
2	433	8665
2	434	8659
2	434	8665
2	435	8659
2	435	8665
2	436	8659
2	436	8665
2	437	8659
2	437	8665
2	438	8659
2	438	8665
2	439	8659
2	439	8665
2	440	8659
2	440	8665
2	441	8659
2	441	8665
2	442	8659
2	442	8665
2	443	8659
2	443	8665
2	444	8659
2	444	8665
2	445	8659
2	445	8665
2	446	8659
2	446	8665
2	447	8659
2	447	8665
2	448	8659
2	448	8665
2	449	8659
2	449	8665
2	450	8659
2	450	8665
2	451	8659
2	451	8665
2	452	8659
2	452	8665
2	453	8659
2	453	8665
2	454	8659
2	454	8665
2	455	8659
2	455	8665
2	456	8659
2	456	8665
2	457	8659
2	457	8665
2	458	8659
2	458	8665
2	459	8659
2	459	8665
2	460	8659
2	460	8665
2	461	8659
2	461	8665
2	462	8659
2	462	8665
2	463	8659
2	463	8665
2	464	8659
2	464	8665
2	465	8659
2	465	8665
2	466	8659
2	466	8665
2	467	8659
2	467	8665
2	468	8659
2	468	8665
2	469	8659
2	469	8665
2	470	8659
2	470	8665
2	471	8659
2	471	8665
2	472	8659
2	472	8665
2	473	8659
2	473	8665
2	474	8659
2	474	8665
2	475	8659
2	475	8665
2	476	8659
2	476	8665
2	477	8659
2	477	8665
2	478	8659
2	478	8665
2	479	8659
2	479	8665
2	480	8659
2	480	8665
2	481	8659
2	481	8665
2	482	8659
2	482	8665
2	483	8659
2	483	8665
2	484	8659
2	484	8665
2	485	8659
2	485	8665
2	486	8659
2	486	8665
2	487	8659
2	487	8665
2	488	8659
2	488	8665
2	489	8659
2	489	8665
2	490	8659
2	490	8665
2	491	8659
2	491	8665
2	492	8659
2	492	8665
2	493	8659
2	493	8665
2	494	8659
2	494	8665
2	495	8659
2	495	8665
2	496	8659
2	496	8665
2	497	8659
2	497	8665
2	498	8659
2	498	8665
2	499	8659
2	499	8665
2	500	8659
2	500	8665
2	501	8659
2	501	8665
2	502	8659
2	502	8665
2	503	8659
2	503	8665
2	504	8659
2	504	8665
2	505	8659
2	505	8665
2	506	8659
2	506	8665
2	507	8659
2	507	8665
2	508	8659
2	508	8665
2	509	8659
2	509	8665
2	510	8659
2	510	8665
2	511	8659
2	511	8665
2	512	8659
2	512	8665
2	513	8659
2	513	8665
2	514	8659
2	514	8665
2	515	8659
2	515	8665
2	516	8659
2	516	8665
2	517	8659
2	517	8665
2	518	8659
2	518	8665
2	519	8659
2	519	8665
2	520	8659
2	520	8665
2	521	8659
2	521	8665
2	522	8659
2	522	8665
2	523	8659
2	523	8665
2	524	8659
2	524	8665
2	525	8659
2	525	8665
2	526	8659
2	526	8665
2	527	8659
2	527	8665
2	528	8659
2	528	8665
2	529	8659
2	529	8665
2	530	8659
2	530	8665
2	531	8659
2	531	8665
2	532	8659
2	532	8665
2	533	8659
2	533	8665
2	534	8659
2	534	8665
2	535	8659
2	535	8665
2	536	8659
2	536	8665
2	537	8659
2	537	8665
2	538	8659
2	538	8665
2	539	8659
2	539	8665
2	540	8659
2	540	8665
2	541	8659
2	541	8665
2	542	8659
2	542	8665
2	543	8659
2	543	8665
2	544	8659
2	544	8665
2	545	8659
2	545	8665
2	546	8659
2	546	8665
2	547	8659
2	547	8665
2	548	8659
2	548	8665
2	549	8659
2	549	8665
2	550	8659
2	550	8665
2	551	8659
2	551	8665
2	552	8659
2	552	8665
2	553	8659
2	553	8665
2	554	8659
2	554	8665
2	555	8659
2	555	8665
2	556	8659
2	556	8665
2	557	8659
2	557	8665
2	558	8659
2	558	8665
2	559	8659
2	559	8665
2	560	8659
2	560	8665
2	561	8659
2	561	8665
2	562	8659
2	562	8665
2	563	8659
2	563	8665
2	564	8659
2	564	8665
2	565	8659
2	565	8665
2	566	8659
2	566	8665
2	567	8659
2	567	8665
2	568	8659
2	568	8665
2	569	8659
2	569	8665
2	570	8659
2	570	8665
2	571	8659
2	571	8665
2	572	8659
2	572	8665
2	573	8659
2	573	8665
2	574	8659
2	574	8665
2	575	8659
2	575	8665
2	576	8659
2	576	8665
2	577	8659
2	577	8665
2	578	8659
2	578	8665
2	579	8659
2	579	8665
2	580	8659
2	580	8665
2	581	8659
2	581	8665
2	582	8659
2	582	8665
2	583	8659
2	583	8665
2	584	8659
2	584	8665
2	585	8659
2	585	8665
2	586	8659
2	586	8665
2	587	8659
2	587	8665
2	588	8659
2	588	8665
2	589	8659
2	589	8665
2	590	8659
2	590	8665
2	591	8659
2	591	8665
2	592	8659
2	592	8665
2	593	8659
2	593	8665
2	594	8659
2	594	8665
2	595	8659
2	595	8665
2	596	8659
2	596	8665
2	597	8659
2	597	8665
2	598	8659
2	598	8665
2	599	8659
2	599	8665
2	600	8659
2	600	8665
2	601	8659
2	601	8665
2	602	8659
2	602	8665
2	603	8659
2	603	8665
2	604	8659
2	604	8665
2	605	8659
2	605	8665
2	606	8659
2	606	8665
2	607	8659
2	607	8665
2	608	8659
2	608	8665
2	609	8659
2	609	8665
2	610	8659
2	610	8665
2	611	8659
2	611	8665
2	612	8659
2	612	8665
2	613	8659
2	613	8665
2	614	8659
2	614	8665
2	615	8659
2	615	8665
2	616	8659
2	616	8665
2	617	8659
2	617	8665
2	618	8659
2	618	8665
2	619	8659
2	619	8665
2	620	8659
2	620	8665
2	621	8659
2	621	8665
2	622	8659
2	622	8665
2	623	8659
2	623	8665
2	624	8659
2	624	8665
2	625	8659
2	625	8665
2	626	8659
2	626	8665
2	627	8659
2	627	8665
2	628	8659
2	628	8665
2	629	8659
2	629	8665
2	630	8659
2	630	8665
2	631	8659
2	631	8665
2	632	8659
2	632	8665
2	633	8659
2	633	8665
2	634	8659
2	634	8665
2	635	8659
2	635	8665
2	636	8659
2	636	8665
2	637	8659
2	637	8665
2	638	8659
2	638	8665
2	639	8659
2	639	8665
2	640	8659
2	640	8665
2	641	8659
2	641	8665
2	642	8659
2	642	8665
2	643	8659
2	643	8665
2	644	8659
2	644	8665
2	645	8659
2	645	8665
2	646	8659
2	646	8665
2	647	8659
2	647	8665
2	648	8659
2	648	8665
2	649	8659
2	649	8665
2	650	8659
2	650	8665
2	651	8659
2	651	8665
2	652	8659
2	652	8665
2	653	8659
2	653	8665
2	654	8659
2	654	8665
2	655	8659
2	655	8665
2	656	8659
2	656	8665
2	657	8659
2	657	8665
2	658	8659
2	658	8665
2	659	8659
2	659	8665
2	660	8659
2	660	8665
2	661	8659
2	661	8665
2	662	8659
2	662	8665
2	663	8659
2	663	8665
2	664	8659
2	664	8665
2	665	8659
2	665	8665
2	666	8659
2	666	8665
2	667	8659
2	667	8665
2	668	8659
2	668	8665
2	669	8659
2	669	8665
2	670	8659
2	670	8665
2	671	8659
2	671	8665
2	672	8659
2	672	8665
2	673	8659
2	673	8665
2	674	8659
2	674	8665
2	675	8659
2	675	8665
2	676	8659
2	676	8665
2	677	8659
2	677	8665
2	678	8659
2	678	8665
2	679	8659
2	679	8665
2	680	8659
2	680	8665
2	681	8659
2	681	8665
2	682	8659
2	682	8665
2	683	8659
2	683	8665
2	684	8659
2	684	8665
2	685	8659
2	685	8665
2	686	8659
2	686	8665
2	687	8659
2	687	8665
2	688	8659
2	688	8665
2	689	8659
2	689	8665
2	690	8659
2	690	8665
2	691	8659
2	691	8665
2	692	8659
2	692	8665
2	693	8659
2	693	8665
2	694	8659
2	694	8665
2	695	8659
2	695	8665
2	696	8659
2	696	8665
2	697	8659
2	697	8665
2	698	8659
2	698	8665
2	699	8659
2	699	8665
2	700	8659
2	700	8665
2	701	8659
2	701	8665
2	702	8659
2	702	8665
2	703	8659
2	703	8665
2	704	8659
2	704	8665
2	705	8659
2	705	8665
2	706	8659
2	706	8665
2	707	8659
2	707	8665
2	708	8659
2	708	8665
2	709	8659
2	709	8665
2	710	8676
2	710	8678
2	711	8676
2	711	8678
2	712	8676
2	712	8678
2	713	8676
2	713	8678
2	714	8676
2	714	8678
2	715	8676
2	715	8678
2	716	8676
2	716	8678
2	717	8676
2	717	8678
2	718	8676
2	718	8678
2	719	8676
2	719	8678
2	720	8676
2	720	8678
2	721	8676
2	721	8678
2	722	8676
2	722	8678
2	723	8676
2	723	8678
2	724	8676
2	724	8678
2	725	8676
2	725	8678
2	726	8676
2	726	8678
2	727	8676
2	727	8678
2	728	8676
2	728	8678
2	729	8676
2	729	8678
2	730	8676
2	730	8678
2	731	8676
2	731	8678
2	732	8676
2	732	8678
2	733	8676
2	733	8678
2	734	8676
2	734	8678
2	735	8676
2	735	8678
2	736	8676
2	736	8678
2	737	8676
2	737	8678
2	738	8676
2	738	8678
2	739	8676
2	739	8678
2	740	8676
2	740	8678
2	741	8676
2	741	8678
2	742	8676
2	742	8678
2	743	8676
2	743	8678
2	744	8676
2	744	8678
2	745	8676
2	745	8678
2	746	8676
2	746	8678
2	747	8676
2	747	8678
2	748	8676
2	748	8678
2	749	8676
2	749	8678
2	750	8676
2	750	8678
2	751	8664
2	751	8683
2	752	8664
2	752	8683
2	753	8664
2	753	8683
2	754	8664
2	754	8683
2	755	8664
2	755	8683
2	756	8664
2	756	8683
2	757	8664
2	757	8683
2	758	8664
2	758	8683
2	759	8664
2	759	8683
2	760	8664
2	760	8683
2	761	8664
2	761	8683
2	762	8664
2	762	8683
2	763	8664
2	763	8683
2	764	8664
2	764	8683
2	765	8664
2	765	8683
2	766	8664
2	766	8683
2	767	8664
2	767	8683
2	768	8664
2	768	8683
2	769	8664
2	769	8683
2	770	8664
2	770	8683
2	771	8664
2	771	8683
2	772	8664
2	772	8683
2	773	8667
2	773	8680
2	774	8667
2	774	8680
2	775	8667
2	775	8680
2	776	8667
2	776	8680
2	777	8667
2	777	8680
2	778	8667
2	778	8680
2	779	8667
2	779	8680
2	780	8667
2	780	8680
2	781	8667
2	781	8680
2	782	8667
2	782	8680
2	783	8667
2	783	8680
2	784	8667
2	784	8680
2	785	8667
2	785	8680
2	786	8667
2	786	8680
2	787	8667
2	787	8680
2	788	8667
2	788	8680
2	789	8667
2	789	8680
2	790	8667
2	790	8680
2	791	8667
2	791	8680
2	792	8667
2	792	8680
2	793	8667
2	793	8680
2	794	8667
2	794	8680
2	795	8667
2	795	8680
2	796	8667
2	796	8680
2	797	8667
2	797	8680
2	798	8667
2	798	8680
2	799	8667
2	799	8680
2	800	8667
2	800	8680
2	801	8667
2	801	8680
2	802	8667
2	802	8680
2	803	8667
2	803	8680
2	804	8667
2	804	8680
2	805	8667
2	805	8680
2	806	8667
2	806	8680
2	807	8667
2	807	8680
2	808	8667
2	808	8680
2	809	8667
2	809	8680
2	810	8667
2	810	8680
2	811	8667
2	811	8680
2	812	8667
2	812	8680
2	813	8667
2	813	8680
2	814	8672
2	814	8684
2	815	8672
2	815	8684
2	816	8672
2	816	8684
2	817	8672
2	817	8684
2	818	8672
2	818	8684
2	819	8681
2	819	8682
2	820	8681
2	820	8682
2	821	8681
2	821	8682
2	822	8681
2	822	8682
2	823	8681
2	823	8682
2	824	8681
2	824	8682
2	825	8681
2	825	8682
2	826	8681
2	826	8682
2	827	8681
2	827	8682
2	828	8681
2	828	8682
2	829	8681
2	829	8682
2	830	8681
2	830	8682
2	831	8681
2	831	8682
2	832	8681
2	832	8682
2	833	8681
2	833	8682
2	834	8681
2	834	8682
2	835	8681
2	835	8682
2	836	8706
2	836	8707
2	837	8706
2	837	8707
2	838	8706
2	838	8707
2	839	8706
2	839	8707
2	840	8706
2	840	8707
2	841	8706
2	841	8707
2	842	8706
2	842	8707
2	843	8706
2	843	8707
2	844	8706
2	844	8707
2	845	8706
2	845	8707
2	846	8706
2	846	8707
2	847	8706
2	847	8707
2	848	8706
2	848	8707
2	849	8706
2	849	8707
2	850	8706
2	850	8707
2	851	8706
2	851	8707
2	852	8706
2	852	8707
2	853	8706
2	853	8707
2	854	8706
2	854	8707
2	855	8706
2	855	8707
2	856	8706
2	856	8707
2	857	8672
2	857	8705
2	858	8672
2	858	8705
2	859	8672
2	859	8705
2	860	8672
2	860	8705
2	861	8672
2	861	8705
2	862	8672
2	862	8705
2	863	8672
2	863	8705
2	864	8672
2	864	8705
2	865	8672
2	865	8705
2	866	8672
2	866	8705
2	867	8672
2	867	8705
2	868	8672
2	868	8705
2	869	8672
2	869	8705
2	870	8673
2	870	9398
2	871	8673
2	871	9398
2	872	8673
2	872	9398
2	873	8673
2	873	9398
2	874	8673
2	874	9398
2	875	8673
2	875	9398
2	876	8673
2	876	9398
2	877	8673
2	877	9398
2	878	8673
2	878	9398
2	879	8673
2	879	9398
2	880	8673
2	880	9398
2	881	8667
2	881	8694
2	882	8667
2	882	8694
2	883	8667
2	883	8694
2	884	8667
2	884	8694
2	885	8667
2	885	8694
2	886	8667
2	886	8694
2	887	8667
2	887	8694
2	888	8667
2	888	8694
2	889	8667
2	889	8694
2	890	8667
